Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,0.5886944140952152,0,0,-0.7270594317241093,1
1,3,0,1.7042062330989207,1,0,-0.7848475002725465,2
0,2,1,3.042820415903367,0,0,-0.597551993490196,1
0,3,1,-0.08061267730700822,0,0,-0.6689856286350925,2
1,3,0,-0.5268174049084905,1,1,-0.4163544799519221,2
0,3,1,-1.240744969070862,0,0,-0.6297842434946005,2
1,3,0,0.18711015925388114,0,0,-0.7409977019962841,1
0,2,1,-0.16985362282730465,1,1,0.7483622296666946,2
1,3,0,-0.8837811869896762,0,0,-0.7688742425406341,0
0,3,1,-0.6160583504287869,2,0,0.41035917556645274,2
0,3,1,-0.08061267730700822,0,0,-0.722417987723475,2
0,1,1,1.6149652875786242,0,0,0.5392881755840708,2
0,2,1,3.1320613614236636,1,0,0.5392881755840708,2
1,1,0,1.7042062330989207,1,0,2.9906814597028344,2
1,2,0,-0.3483355138678976,1,0,0.6592130530058639,0
0,2,1,0.6333148868553634,0,0,-0.4119987704918674,1
0,3,1,-0.6160583504287869,0,0,-0.7691669462163497,0
1,3,0,-0.08061267730700822,1,0,-0.7203830002637375,2
1,3,0,1.525724342058328,0,0,-0.7691669462163497,0
0,1,1,2.418133797261292,1,0,2.8669793110372828,0
0,3,1,-1.6869496966723443,0,1,-1.0517096229036076,2
1,1,0,-0.08061267730700822,0,0,0.9353650327733294,2
0,1,1,-0.6160583504287869,0,1,3.004912433650725,0
0,3,1,1.9719290696598102,1,0,-0.262162365065987,2
1,1,0,-0.5268174049084905,0,1,3.04672724446725,0
0,3,1,-0.48219693214834225,0,0,-0.7691669462163497,0
0,1,1,1.168760559977142,0,0,0.8528992567080066,2
0,3,1,-0.08061267730700822,2,0,0.238165784624004,0
0,2,1,1.9719290696598102,1,0,0.5392881755840708,2
0,2,1,-0.3483355138678976,2,0,0.9225906080688812,2
1,3,0,0.4548329958147705,1,2,0.1612125944513261,2
1,3,0,-0.08061267730700822,1,2,0.3615752296138406,2
0,1,1,0.18711015925388114,1,0,2.751988581291839,0
0,3,1,-0.839160714229528,0,0,-0.7688742425406341,0
1,3,0,-0.08061267730700822,0,0,-0.7116715813436281,2
1,3,0,-0.6160583504287869,0,0,-0.6689856286350925,2
0,3,1,-0.2590945683476011,0,0,-0.61061912187036,2
0,3,1,-0.08061267730700822,0,0,2.6645816884150304,2
0,3,1,0.9902786689365491,0,1,-0.3376590059952224,0
0,1,1,-0.08061267730700822,0,0,0.5776184188325519,2
0,3,1,1.168760559977142,0,0,-0.7256098516158032,2
1,2,0,0.18711015925388114,0,0,-0.3666993921072989,2
1,1,0,1.525724342058328,1,0,2.3898862578910074,2
0,3,1,-0.2590945683476011,0,0,-0.7203830002637375,2
0,1,1,1.525724342058328,0,0,0.7971461756193068,0
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
1,3,0,0.7225558323756598,0,2,-0.16459447316076256,2
0,1,1,-0.3483355138678976,1,0,2.908794121853807,2
0,2,1,-0.08061267730700822,0,0,-0.22499596738523256,0
1,2,0,-0.7052992959490834,2,1,0.3302141215014471,2
0,2,1,-0.08061267730700822,0,0,-0.18695145867733112,0
0,3,1,-1.5977087511520478,4,1,0.7570736485868039,1
